match_id,match_name,event_hour,topic_label,topic_post_count
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,qatar / the / worldcup2022 / to,20
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,requestabet / available / hi / gt,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,supporting / support / team / ghana,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,the / watch / coverage / and,5
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,worldcup2022 / the / cup / world,53
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,autre,116
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,corruption / corrupt / minutes / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,crypto / eth / our / to,5
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,15
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,fifa / ceremony / 2022 / opening,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,freeman / morgan / voice / morganfreeman,13
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,61
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,keeper / goalkeeper / qatar / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,offside / was / that / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,opening / ceremony / worldcup2022 / the,37
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,palestinian / raisepalestineflag / palestine / flag,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,qatar / paid / the / worldcup2022,8
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,qatar / the / worldcup2022 / to,68
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,supporting / support / team / ghana,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,the / watch / coverage / and,33
